Week,Cost_Price,Selling_Price,Total_Inventory,Demand
33,2036.3999999999999,3571.0,1796,508
34,1863.84,3620.0,1796,515
35,1931.7599999999998,3638.0,1796,519
36,2015.04,2834.8,1796,531
37,1799.28,3717.0,1796,529
38,1676.88,3721.0,1796,530
39,1825.92,3666.0,1796,522
40,1645.1999999999998,3617.0,1708,517
41,1511.76,3601.0,1708,514
42,1631.28,3594.0,1708,513
43,1659.84,3506.0,1708,500
5,1015.44,2572.0,2107,943
6,924.24,1936.48,2107,939
7,958.3199999999999,2514.0,2107,935
8,1119.1200000000001,2561.0,2107,940
9,1116.0,2625.0,2107,950
10,1386.96,2667.0,2107,953
11,1309.92,2720.0,2107,961
12,1234.8000000000002,2732.0,2107,963
13,1494.48,2719.0,2030,960
14,1580.6399999999999,2770.0,2030,967
15,1591.6799999999998,2808.0,2030,972
16,1556.16,2795.0,2030,970
17,1617.84,2780.0,2030,968
18,1741.1999999999998,2835.0,2030,975
19,1794.72,2854.0,2030,977
20,1834.56,2826.0,2030,973
21,1930.56,2759.0,2030,963
22,1936.56,2705.0,2030,955
23,1930.3200000000002,2668.0,2030,949
24,2018.6399999999999,2637.0,2030,945
25,2024.16,2653.0,2030,946
26,1941.84,2669.0,2024,950
27,1931.52,2642.0,2024,946
28,1995.6000000000001,2623.0,2024,945
29,2000.6399999999999,2608.0,2024,943
30,1964.16,2640.0,2024,949
31,2091.84,2627.0,2024,948
32,2088.0,2692.0,2024,959
33,2079.6000000000004,2664.0,2024,958
34,2045.28,2619.0,2024,955
35,1949.04,2577.0,2024,940
36,1888.56,1949.4,2024,936
37,1970.6399999999999,2582.0,2024,938
38,1942.56,2624.0,2024,943
39,1725.3600000000001,2603.0,2037,942
40,1534.32,2633.0,2037,948
41,1612.3200000000002,2720.0,2037,959
42,1676.6399999999999,2725.0,2037,959
43,1671.3600000000001,2716.0,2037,958
44,1409.76,2689.0,2037,956
45,1430.6399999999999,2728.0,2037,961
46,1233.84,2771.0,2037,969
47,1548.48,2078.6,2037,962
48,1182.48,2708.0,2037,961
49,1111.92,2843.0,2037,980
50,1196.16,2869.0,2037,984
51,1255.92,2886.0,2037,986
52,1162.32,2236.68,2037,993
1,1158.48,2976.0,2012,1000
2,849.5999999999999,2983.0,2012,1002
3,1056.96,3016.0,2012,1005
4,1051.92,3010.0,2012,1004
5,1014.48,2989.0,2012,1001
6,873.36,2296.72,2012,1007
7,1376.6399999999999,3045.0,2012,1007
8,1509.6,3065.0,2012,1009
9,1429.92,3288.0,2012,1041
10,1285.44,3459.0,2012,1066
11,1506.24,3488.0,2012,1069
12,1679.28,3473.0,2012,1066
13,1420.08,3524.0,1997,1074
14,1628.16,3622.0,1997,510
15,1710.48,3743.0,1997,526
16,1751.7599999999998,3807.0,1997,535
17,1728.72,3810.0,1997,535
18,1550.6399999999999,3906.0,1997,550
19,1815.3600000000001,3899.0,1997,547
20,1623.12,3907.0,1997,550
21,1865.28,3786.0,1997,531
22,1992.0,3699.0,1997,518
23,1995.12,3648.0,1997,510
24,2073.84,3637.0,1997,508
25,2005.92,3594.0,1997,502
26,2053.2,3524.0,2070,1071
27,2059.92,3480.0,2070,1064
28,2124.96,3575.0,2070,500
29,2058.48,3651.0,2070,512
30,2083.92,3682.0,2070,518
31,2199.6000000000004,3684.0,2070,519
32,2178.2400000000002,3638.0,2070,513
33,2158.56,3554.0,2070,504
34,2111.04,3523.0,2070,502
35,2107.92,3533.0,2070,1074
36,1824.0,2694.96,2070,1076
37,1918.56,3526.0,2070,1072
38,1819.1999999999998,3467.0,2070,1064
39,1912.56,3355.0,2070,1048
40,1663.44,3285.0,2045,1039
41,1721.7599999999998,3274.0,2045,1037
42,1529.04,3353.0,2045,1050
43,1597.6799999999998,3372.0,2045,1052
44,1319.52,3332.0,2045,1048
45,1418.6399999999999,3297.0,2045,1042
46,1494.0,3308.0,2045,1044
47,1443.3600000000001,2459.36,2045,1033
48,1173.84,3172.0,2045,1026
49,1054.32,3158.0,2045,1026
50,1239.1200000000001,3159.0,2045,1025
51,1151.04,3112.0,2045,1019
52,1069.1999999999998,2378.04,2045,1020
1,1176.24,3157.0,1910,1025
2,1164.72,3261.0,1910,1040
3,1298.6399999999999,3268.0,1910,1039
4,1302.24,3290.0,1910,1042
5,1357.1999999999998,3360.0,1910,1052
6,1152.48,2590.84,1910,1061
7,1087.68,3510.0,1910,1075
8,1374.0,3555.0,1910,502
9,1463.04,3630.0,1910,512
10,1410.24,3669.0,1910,518
11,1553.7599999999998,3734.0,1910,526
12,1582.3200000000002,3787.0,1910,533
13,1622.6399999999999,3845.0,1910,541
14,1690.3200000000002,3891.0,1857,547
15,1657.6799999999998,3891.0,1857,547
16,1602.2400000000002,3877.0,1857,546
17,1613.52,3814.0,1857,537
18,1813.1999999999998,3749.0,1857,527
19,1770.48,3688.0,1857,518
20,1687.92,3630.0,1857,510
21,1853.28,3561.0,1857,1077
22,1870.8000000000002,3501.0,1857,1068
23,1879.1999999999998,3452.0,1857,1061
24,1904.3999999999999,3393.0,1857,1053
25,1881.3600000000001,3346.0,1857,1046
26,2037.12,3286.0,1857,1037
27,1957.6799999999998,3227.0,1796,1029
28,1850.88,3256.0,1796,1035
29,1930.08,3311.0,1796,1044
30,1983.84,3407.0,1796,1058
31,2066.64,3417.0,1796,1060
32,2041.1999999999998,3494.0,1796,1071
33,2036.3999999999999,3571.0,1796,505
34,1863.84,3620.0,1796,515
35,1931.7599999999998,3638.0,1796,519
36,2015.04,2834.8,1796,524
37,1799.28,3717.0,1796,523
38,1676.88,3721.0,1796,524
39,1825.92,3666.0,1796,515
40,1645.1999999999998,3617.0,1708,509
41,1511.76,3601.0,1708,507
42,1631.28,3594.0,1708,505
43,1659.84,3506.0,1708,1071
5,1015.44,2572.0,2107,951
6,924.24,1936.48,2107,947
7,958.3199999999999,2514.0,2107,943
8,1119.1200000000001,2561.0,2107,948
9,1116.0,2625.0,2107,957
10,1386.96,2667.0,2107,960
11,1309.92,2720.0,2107,968
12,1234.8000000000002,2732.0,2107,970
13,1494.48,2719.0,2030,968
14,1580.6399999999999,2770.0,2030,974
15,1591.6799999999998,2808.0,2030,979
16,1556.16,2795.0,2030,977
17,1617.84,2780.0,2030,975
18,1741.1999999999998,2835.0,2030,983
19,1794.72,2854.0,2030,984
20,1834.56,2826.0,2030,980
21,1930.56,2759.0,2030,971
22,1936.56,2705.0,2030,964
23,1930.3200000000002,2668.0,2030,958
24,2018.6399999999999,2637.0,2030,953
25,2024.16,2653.0,2030,955
26,1941.84,2669.0,2024,959
27,1931.52,2642.0,2024,955
28,1995.6000000000001,2623.0,2024,951
29,2000.6399999999999,2608.0,2024,949
30,1964.16,2640.0,2024,954
31,2091.84,2627.0,2024,953
32,2088.0,2692.0,2024,960
33,2079.6000000000004,2664.0,2024,958
34,2045.28,2619.0,2024,951
35,1949.04,2577.0,2024,946
36,1888.56,1949.4,2024,944
37,1970.6399999999999,2582.0,2024,945
38,1942.56,2624.0,2024,951
39,1725.3600000000001,2603.0,2037,950
40,1534.32,2633.0,2037,955
41,1612.3200000000002,2720.0,2037,967
42,1676.6399999999999,2725.0,2037,966
43,1671.3600000000001,2716.0,2037,966
44,1409.76,2689.0,2037,965
45,1430.6399999999999,2728.0,2037,969
46,1233.84,2771.0,2037,977
47,1548.48,2078.6,2037,973
48,1182.48,2708.0,2037,968
49,1111.92,2843.0,2037,987
50,1196.16,2869.0,2037,991
51,1255.92,2886.0,2037,996
52,1162.32,2236.68,2037,1001
1,1158.48,2976.0,2012,1006
2,849.5999999999999,2983.0,2012,1008
3,1056.96,3016.0,2012,1011
4,1051.92,3010.0,2012,1010
5,1014.48,2989.0,2012,1008
6,873.36,2296.72,2012,1014
7,1376.6399999999999,3045.0,2012,1014
8,1509.6,3065.0,2012,1015
9,1429.92,3288.0,2012,1048
10,1285.44,3459.0,2012,1072
11,1506.24,3488.0,2012,1075
12,1679.28,3473.0,2012,1072
13,1420.08,3524.0,1997,502
14,1628.16,3622.0,1997,515
15,1710.48,3743.0,1997,531
16,1751.7599999999998,3807.0,1997,540
17,1728.72,3810.0,1997,541
18,1550.6399999999999,3906.0,1997,556
19,1815.3600000000001,3899.0,1997,553
20,1623.12,3907.0,1997,555
21,1865.28,3786.0,1997,537
22,1992.0,3699.0,1997,525
23,1995.12,3648.0,1997,517
24,2073.84,3637.0,1997,515
25,2005.92,3594.0,1997,509
26,2053.2,3524.0,2070,1077
27,2059.92,3480.0,2070,1071
28,2124.96,3575.0,2070,505
29,2058.48,3651.0,2070,516
30,2083.92,3682.0,2070,521
31,2199.6000000000004,3684.0,2070,521
32,2178.2400000000002,3638.0,2070,514
33,2158.56,3554.0,2070,503
34,2111.04,3523.0,2070,1077
35,2107.92,3533.0,2070,500
36,1824.0,2694.96,2070,503
37,1918.56,3526.0,2070,500
38,1819.1999999999998,3467.0,2070,1069
39,1912.56,3355.0,2070,1053
40,1663.44,3285.0,2045,1046
41,1721.7599999999998,3274.0,2045,1044
42,1529.04,3353.0,2045,1055
43,1597.6799999999998,3372.0,2045,1058
44,1319.52,3332.0,2045,1055
45,1418.6399999999999,3297.0,2045,1049
46,1494.0,3308.0,2045,1050
47,1443.3600000000001,2459.36,2045,1043
48,1173.84,3172.0,2045,1033
49,1054.32,3158.0,2045,1032
50,1239.1200000000001,3159.0,2045,1031
51,1151.04,3112.0,2045,1028
52,1069.1999999999998,2378.04,2045,1028
1,1176.24,3157.0,1910,1032
2,1164.72,3261.0,1910,1045
3,1298.6399999999999,3268.0,1910,1045
4,1302.24,3290.0,1910,1048
5,1357.1999999999998,3360.0,1910,1059
6,1152.48,2590.84,1910,1067
7,1087.68,3510.0,1910,503
8,1374.0,3555.0,1910,507
9,1463.04,3630.0,1910,518
10,1410.24,3669.0,1910,524
11,1553.7599999999998,3734.0,1910,532
12,1582.3200000000002,3787.0,1910,539
13,1622.6399999999999,3845.0,1910,547
14,1690.3200000000002,3891.0,1857,554
15,1657.6799999999998,3891.0,1857,553
16,1602.2400000000002,3877.0,1857,551
17,1613.52,3814.0,1857,542
18,1813.1999999999998,3749.0,1857,533
19,1770.48,3688.0,1857,524
20,1687.92,3630.0,1857,516
21,1853.28,3561.0,1857,506
22,1870.8000000000002,3501.0,1857,1076
23,1879.1999999999998,3452.0,1857,1069
24,1904.3999999999999,3393.0,1857,1060
25,1881.3600000000001,3346.0,1857,1053
26,2037.12,3286.0,1857,1044
27,1957.6799999999998,3227.0,1796,1038
28,1850.88,3256.0,1796,1041
29,1930.08,3311.0,1796,1048
30,1983.84,3407.0,1796,1061
31,2066.64,3417.0,1796,1063
32,2041.1999999999998,3494.0,1796,1074
33,2036.3999999999999,3571.0,1796,506
34,1863.84,3620.0,1796,514
35,1931.7599999999998,3638.0,1796,516
36,2015.04,2834.8,1796,529
37,1799.28,3717.0,1796,527
38,1676.88,3721.0,1796,529
39,1825.92,3666.0,1796,520
40,1645.1999999999998,3617.0,1708,515
41,1511.76,3601.0,1708,513
42,1631.28,3594.0,1708,511
43,1659.84,3506.0,1708,1077
5,1015.44,2572.0,2107,949
6,924.24,1936.48,2107,945
7,958.3199999999999,2514.0,2107,939
8,1119.1200000000001,2561.0,2107,944
9,1116.0,2625.0,2107,953
10,1386.96,2667.0,2107,957
11,1309.92,2720.0,2107,965
12,1234.8000000000002,2732.0,2107,972
13,1494.48,2719.0,2030,966
14,1580.6399999999999,2770.0,2030,969
15,1591.6799999999998,2808.0,2030,972
16,1556.16,2795.0,2030,975
17,1617.84,2780.0,2030,971
18,1741.1999999999998,2835.0,2030,978
19,1794.72,2854.0,2030,979
20,1834.56,2826.0,2030,975
21,1930.56,2759.0,2030,965
22,1936.56,2705.0,2030,959
23,1930.3200000000002,2668.0,2030,954
24,2018.6399999999999,2637.0,2030,948
25,2024.16,2653.0,2030,950
26,1941.84,2669.0,2024,953
27,1931.52,2642.0,2024,950
28,1995.6000000000001,2623.0,2024,946
29,2000.6399999999999,2608.0,2024,943
30,1964.16,2640.0,2024,948
31,2091.84,2627.0,2024,945
32,2088.0,2692.0,2024,954
33,2079.6000000000004,2664.0,2024,950
34,2045.28,2619.0,2024,944
35,1949.04,2577.0,2024,939
36,1888.56,1949.4,2024,938
37,1970.6399999999999,2582.0,2024,940
38,1942.56,2624.0,2024,946
39,1725.3600000000001,2603.0,2037,946
40,1534.32,2633.0,2037,951
41,1612.3200000000002,2720.0,2037,962
42,1676.6399999999999,2725.0,2037,963
43,1671.3600000000001,2716.0,2037,960
44,1409.76,2689.0,2037,960
45,1430.6399999999999,2728.0,2037,966
46,1233.84,2771.0,2037,973
47,1548.48,2078.6,2037,980
48,1182.48,2708.0,2037,968
49,1111.92,2843.0,2037,991
50,1196.16,2869.0,2037,997
51,1255.92,2886.0,2037,1006
52,1162.32,2236.68,2037,1000
1,1158.48,2976.0,2012,1002
2,849.5999999999999,2983.0,2012,1003
3,1056.96,3016.0,2012,1007
4,1051.92,3010.0,2012,1007
5,1014.48,2989.0,2012,1007
6,873.36,2296.72,2012,1014
7,1376.6399999999999,3045.0,2012,1012
8,1509.6,3065.0,2012,1013
9,1429.92,3288.0,2012,1046
10,1285.44,3459.0,2012,1069
11,1506.24,3488.0,2012,1072
12,1679.28,3473.0,2012,1068
13,1420.08,3524.0,1997,500
14,1628.16,3622.0,1997,512
15,1710.48,3743.0,1997,529
16,1751.7599999999998,3807.0,1997,538
17,1728.72,3810.0,1997,537
18,1550.6399999999999,3906.0,1997,552
19,1815.3600000000001,3899.0,1997,549
20,1623.12,3907.0,1997,551
21,1865.28,3786.0,1997,533
22,1992.0,3699.0,1997,520
23,1995.12,3648.0,1997,513
24,2073.84,3637.0,1997,511
25,2005.92,3594.0,1997,506
26,2053.2,3524.0,2070,1073
27,2059.92,3480.0,2070,1067
28,2124.96,3575.0,2070,502
29,2058.48,3651.0,2070,513
30,2083.92,3682.0,2070,517
31,2199.6000000000004,3684.0,2070,517
32,2178.2400000000002,3638.0,2070,511
33,2158.56,3554.0,2070,1077
34,2111.04,3523.0,2070,1072
35,2107.92,3533.0,2070,1074
36,1824.0,2694.96,2070,500
37,1918.56,3526.0,2070,1074
38,1819.1999999999998,3467.0,2070,1067
39,1912.56,3355.0,2070,1049
40,1663.44,3285.0,2045,1044
41,1721.7599999999998,3274.0,2045,1041
42,1529.04,3353.0,2045,1055
43,1597.6799999999998,3372.0,2045,1056
44,1319.52,3332.0,2045,1053
45,1418.6399999999999,3297.0,2045,1048
46,1494.0,3308.0,2045,1048
47,1443.3600000000001,2459.36,2045,1051
48,1173.84,3172.0,2045,1032
49,1054.32,3158.0,2045,1033
50,1239.1200000000001,3159.0,2045,1032
51,1151.04,3112.0,2045,1031
52,1069.1999999999998,2378.04,2045,1027
1,1176.24,3157.0,1910,1027
2,1164.72,3261.0,1910,1041
3,1298.6399999999999,3268.0,1910,1041
4,1302.24,3290.0,1910,1045
5,1357.1999999999998,3360.0,1910,1056
6,1152.48,2590.84,1910,1067
7,1087.68,3510.0,1910,505
8,1374.0,3555.0,1910,506
9,1463.04,3630.0,1910,516
10,1410.24,3669.0,1910,521
11,1553.7599999999998,3734.0,1910,530
12,1582.3200000000002,3787.0,1910,536
13,1622.6399999999999,3845.0,1910,544
14,1690.3200000000002,3891.0,1857,551
15,1657.6799999999998,3891.0,1857,549
16,1602.2400000000002,3877.0,1857,547
17,1613.52,3814.0,1857,538
18,1813.1999999999998,3749.0,1857,528
19,1770.48,3688.0,1857,520
20,1687.92,3630.0,1857,512
21,1853.28,3561.0,1857,501
22,1870.8000000000002,3501.0,1857,1070
23,1879.1999999999998,3452.0,1857,1065
24,1904.3999999999999,3393.0,1857,1056
25,1881.3600000000001,3346.0,1857,1050
26,2037.12,3286.0,1857,1040
27,1957.6799999999998,3227.0,1796,1032
28,1850.88,3256.0,1796,1036
29,1930.08,3311.0,1796,1043
30,1983.84,3407.0,1796,1056
31,2066.64,3417.0,1796,1057
32,2041.1999999999998,3494.0,1796,1069
33,2036.3999999999999,3571.0,1796,501
34,1863.84,3620.0,1796,511
35,1931.7599999999998,3638.0,1796,512
36,2015.04,2834.8,1796,524
37,1799.28,3717.0,1796,524
38,1676.88,3721.0,1796,527
39,1825.92,3666.0,1796,517
40,1645.1999999999998,3617.0,1708,512
41,1511.76,3601.0,1708,510
42,1631.28,3594.0,1708,508
43,1659.84,3506.0,1708,1074
5,1015.44,2572.0,2107,941
6,924.24,1936.48,2107,939
7,958.3199999999999,2514.0,2107,933
8,1119.1200000000001,2561.0,2107,938
9,1116.0,2625.0,2107,947
10,1386.96,2667.0,2107,952
11,1309.92,2720.0,2107,960
12,1234.8000000000002,2732.0,2107,963
13,1494.48,2719.0,2030,958
14,1580.6399999999999,2770.0,2030,965
15,1591.6799999999998,2808.0,2030,971
16,1556.16,2795.0,2030,969
17,1617.84,2780.0,2030,966
18,1741.1999999999998,2835.0,2030,974
19,1794.72,2854.0,2030,976
20,1834.56,2826.0,2030,971
21,1930.56,2759.0,2030,962
22,1936.56,2705.0,2030,954
23,1930.3200000000002,2668.0,2030,948
24,2018.6399999999999,2637.0,2030,943
25,2024.16,2653.0,2030,946
26,1941.84,2669.0,2024,949
27,1931.52,2642.0,2024,945
28,1995.6000000000001,2623.0,2024,942
29,2000.6399999999999,2608.0,2024,940
30,1964.16,2640.0,2024,944
31,2091.84,2627.0,2024,942
32,2088.0,2692.0,2024,951
33,2079.6000000000004,2664.0,2024,947
34,2045.28,2619.0,2024,941
35,1949.04,2577.0,2024,935
